invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total_amount
1,Walm003,San Antonio,Health And Beauty,74.69,7.0,2019-01-05,13:08:00,Ewallet,9.1,0.48,522.8299999999999
2,Walm048,Harlingen,Electronic Accessories,15.28,5.0,2019-03-08,10:29:00,Cash,9.6,0.48,76.39999999999999
3,Walm067,Haltom City,Home And Lifestyle,46.33,7.0,2019-03-03,13:23:00,Credit Card,7.4,0.33,324.31
4,Walm064,Bedford,Health And Beauty,58.22,8.0,2019-01-27,20:33:00,Ewallet,8.4,0.33,465.76
5,Walm013,Irving,Sports And Travel,86.31,7.0,2019-02-08,10:37:00,Ewallet,5.3,0.48,604.1700000000001
6,Walm026,Denton,Electronic Accessories,85.39,7.0,2019-03-25,18:30:00,Ewallet,4.1,0.48,597.73
7,Walm088,Cleburne,Electronic Accessories,68.84,6.0,2019-02-25,14:36:00,Ewallet,5.8,0.33,413.04
8,Walm100,Canyon,Home And Lifestyle,73.56,10.0,2019-02-24,11:38:00,Ewallet,8.0,0.18,735.6
9,Walm066,Grapevine,Health And Beauty,36.26,2.0,2019-01-10,17:15:00,Credit Card,7.2,0.33,72.52
10,Walm065,Texas City,Food And Beverages,54.84,3.0,2019-02-20,13:27:00,Credit Card,5.9,0.33,164.52
11,Walm013,Irving,Fashion Accessories,14.48,4.0,2019-02-06,18:07:00,Ewallet,4.5,0.48,57.92
12,Walm035,San Angelo,Electronic Accessories,25.51,4.0,2019-03-09,17:03:00,Cash,6.8,0.48,102.04
13,Walm027,Abilene,Electronic Accessories,46.95,5.0,2019-02-12,10:25:00,Ewallet,7.1,0.48,234.75
14,Walm035,San Angelo,Food And Beverages,43.19,10.0,2019-02-07,16:48:00,Ewallet,8.2,0.48,431.9
15,Walm031,Lewisville,Health And Beauty,71.38,10.0,2019-03-29,19:21:00,Cash,5.7,0.48,713.8
16,Walm008,Corpus Christi,Sports And Travel,93.72,6.0,2019-01-15,16:19:00,Cash,4.5,0.48,562.3199999999999
17,Walm029,Round Rock,Health And Beauty,68.93,7.0,2019-03-11,11:03:00,Credit Card,4.6,0.48,482.51000000000005
18,Walm061,Cedar Park,Sports And Travel,72.61,6.0,2019-01-01,10:39:00,Credit Card,6.9,0.33,435.65999999999997
19,Walm053,Conroe,Food And Beverages,54.67,3.0,2019-01-21,18:00:00,Credit Card,8.6,0.57,164.01
20,Walm013,Irving,Home And Lifestyle,40.3,2.0,2019-03-11,15:30:00,Ewallet,4.4,0.48,80.6
21,Walm044,Pharr,Electronic Accessories,86.04,5.0,2019-02-25,11:24:00,Ewallet,4.8,0.48,430.20000000000005
